Von_Haltestelle;Nach_Haltestelle;Linie
Staad/Autofähre;Allmannsdorf;1
Allmannsdorf;An der Steig;1
An der Steig;Tannenhof;1
Tannenhof;Salzberg;1
Salzberg;Klinikum Konstanz;1
Klinikum Konstanz;Sternenplatz;1
Sternenplatz;Schottenplatz;1
Schottenplatz;Bürgerbüro;1
Bürgerbüro;Lutherplatz;1
Lutherplatz;Schulthaißstraße;1
Schulthaißstraße;Döbelestraße;1
Döbelestraße;Döbele;1
Döbele;Schnetztor;1
Schnetztor;Bodanplatz;1
Bodanplatz;Bahnhof;1
Bahnhof;Konzilstr./Theater;1
Konzilstr./Theater;Sternenplatz;1
Sternenplatz;Klinikum Konstanz;1
Klinikum Konstanz;Salzberg;1
Salzberg;Tannenhof;1
Tannenhof;An der Steig;1
An der Steig;Allmannsdorf;1
Allmannsdorf;Staad/Autofähre;1
Wollmatingen/Radolfzeller Str.;Wollmatingen/Rathaus;2
Wollmatingen/Rathaus;Bodan;2
Bodan;Hardtstr./Fürstenberg;2
Hardtstr./Fürstenberg;Herosestraße;2
Herosestraße;Fürstenberg;2
Fürstenberg;Taborweg;2
Taborweg;Friedhof;2
Friedhof;Bismarcksteig;2
Bismarcksteig;Zähringerplatz;2
Zähringerplatz;Sternenplatz;2
Sternenplatz;Schottenplatz;2
Schottenplatz;Bürgerbüro;2
Bürgerbüro;Schnetztor;2
Schnetztor;Bodanplatz;2
Bodanplatz;Bahnhof;2
Bahnhof;Konzilstr./Theater;2
Konzilstr./Theater;Sternenplatz;2
Sternenplatz;Zähringerplatz;2
Zähringerplatz;Bismarcksteig;2
Bismarcksteig;Friedhof;2
Friedhof;Taborweg;2
Taborweg;Fürstenberg;2
Fürstenberg;Herosestraße;2
Herosestraße;Hardtstr./Fürstenberg;2
Hardtstr./Fürstenberg;Bodan;2
Bodan;Wollmatingen/Rathaus;2
Wollmatingen/Rathaus;Wollmatingen/Radolfzeller Str.;2
Brandenburger Straße;Karlsruher Straße;3
Karlsruher Straße;Hardtstraße;3
Hardtstraße;Reute-/Winkelstraße;3
Reute-/Winkelstraße;Elberfeldstraße;3
Elberfeldstraße;Fürstenberg;3
Fürstenberg;Taborweg;3
Taborweg;Friedhof;3
Friedhof;Bismarcksteig;3
Bismarcksteig;Zähringerplatz;3
Zähringerplatz;Sternenplatz;3
Sternenplatz;Schottenplatz;3
Schottenplatz;Bürgerbüro;3
Bürgerbüro;Schnetztor;3
Schnetztor;Bodanplatz;3
Bodanplatz;Bahnhof;3
Bahnhof;Konzilstr./Theater;3
Konzilstr./Theater;Sternenplatz;3
Sternenplatz;Zähringerplatz;3
Zähringerplatz;Bismarcksteig;3
Bismarcksteig;Friedhof;3
Friedhof;Taborweg;3
Taborweg;Fürstenberg;3
Fürstenberg;Elberfeldstraße;3
Elberfeldstraße;Reute-/Winkelstraße;3
Reute-/Winkelstraße;Reute-/Freibürgleweg;3
Reute-/Freibürgleweg;Breslauer Straße Ost;3
Breslauer Straße Ost;Breslauer Straße West;3
Breslauer Straße West;Brandenburger Straße;3
Bahnhof;Konzilstr./Theater;4/13
Konzilstr./Theater;Sternenplatz;4/13
Sternenplatz;Zähringerplatz;4/13
Zähringerplatz;Allmannsdorfer Straße;4/13
Allmannsdorfer Straße;Salzberg/Allmannsdorfer Str.;4/13
Salzberg/Allmannsdorfer Str.;Tannenhof;4/13
Tannenhof;An der Steig;4/13
An der Steig;Allmannsdorf;4/13
Allmannsdorf;Jugendherberge;4/13
Jugendherberge;Egg/Universität;4/13
Egg/Universität;Mainau;4/13
Mainau;Litzelstetten/Waldfriedhof;4/13
Litzelstetten/Waldfriedhof;Litzelstetten/Tankstelle;4/13
Litzelstetten/Tankstelle;Litzelstetten/Zum Purren;4/13
Litzelstetten/Zum Purren;Oberdorf;4/13
Oberdorf;Dingelsdorf/Thingolthalle;4/13
Dingelsdorf/Thingolthalle;Dingelsdorf/Ortsmitte;4/13
Dingelsdorf/Ortsmitte;Dingelsdorf/Wallhauser Str.;4/13
Dingelsdorf/Wallhauser Str.;Dingelsdorf/Klausenhorn;4/13
Dingelsdorf/Klausenhorn;Wallhausen/Hafen;4/13
Wallhausen/Hafen;Wallhausen/Linzgaublick;4/13
Wallhausen/Linzgaublick;Wallhausen/Birnaublick;4/13
Wallhausen/Birnaublick;Dettingen/Feuerwehr;4/13
Dettingen/Feuerwehr;Dettingen/Ortsmitte;4/13
Dettingen/Ortsmitte;Dettingen/Kinderspielplatz;4/13
Dettingen/Kinderspielplatz;Wollmatingen/Rathaus;4/13
Wollmatingen/Rathaus;Bahnhof Wollmatingen;4/13
Bahnhof Wollmatingen;Max-Stromeyer-Straße West;4/13
Max-Stromeyer-Straße West;Max-Stromeyer-Straße Ost;4/13
