"Stop","Degree_2019","Degree_2025","Gained","Lost","Net_Change"
"Bodan/Riedstraße",26,60,33,0,33
"Friedhof",30,62,31,0,31
"Bismarcksteig",30,62,31,0,31
"Herosestraße",31,54,28,4,24
"Laube/Niederburg",17,28,10,0,10
"Litzelstetten/Waldfriedhof",52,60,7,0,7
"Litzelstetten/Tankstelle",52,60,7,0,7
"Litzelstetten/Zum Purren",52,60,7,0,7
"Neuwerk",52,60,7,0,7
"Sternenplatz/Spanierstraße",52,60,7,0,7
"Tannenhof",49,54,7,1,6
"Schottenplatz",54,61,24,19,5
"Schnetztor",54,61,24,19,5
"Bodanplatz",61,67,23,19,4
"Jugendherberge",34,38,4,0,4
"Egg/Universität",34,38,4,0,4
"Mainau",34,38,4,0,4
"Oberdorf",34,38,4,0,4
"Dingelsdorf/Thingolthalle",34,38,4,0,4
"Dingelsdorf/Ortsmitte",34,38,4,0,4
"Dingelsdorf/Wallhauser Str.",34,38,4,0,4
"Dingelsdorf/Klausenhorn",34,38,4,0,4
"Wallhausen/Hafen",34,38,4,0,4
"Wallhausen/Linzgaublick",34,38,4,0,4
"Wallhausen/Birnaublick",34,38,4,0,4
"Dettingen/Feuerwehr",34,38,4,0,4
"Dettingen/Ortsmitte",34,38,4,0,4
"Dettingen/Kinderspielplatz",34,38,4,0,4
"Max-Stromeyer-Straße West",34,38,4,0,4
"Max-Stromeyer-Straße Ost",34,38,4,0,4
"Europabrücke Fernbusbahnhof",34,38,4,0,4
"Bodenseeforum/IHK",34,38,4,0,4
"Am Rheinufer",34,38,4,0,4
"ZfP Reichenau",26,31,4,0,4
"Feursteinstraße",26,31,4,0,4
"Wollmatingen/Kindlebildstr.",26,31,4,0,4
"Riedstraße",26,31,4,0,4
"Byk-Gulden-Straße",26,31,4,0,4
"Fritz-Arnold-Straße",26,31,4,0,4
"Carl-Benz-Straße",26,31,4,0,4
"Rudolf-Diesel-Straße",26,31,4,0,4
"Line-Eid-Straße",26,31,4,0,4
"Stromeyersdorf",26,31,4,0,4
"Stadtwerke",26,31,4,0,4
"Gottmannplatz",26,31,4,0,4
"Markgrafenstraße",26,31,4,0,4
"Hallenbad",26,31,4,0,4
"Litzelstetter Straße",26,31,4,0,4
"Am Bettenberg",26,31,4,0,4
"Salzberg",16,17,3,1,2
"Bahnhof Wollmatingen",66,68,6,4,2
"Sternenplatz",86,88,1,0,1
"Pfeiferhölzle Wendeplatte",13,15,1,0,1
"Pfeiferhölzle",13,15,1,0,1
"Danziger Straße",13,15,1,0,1
"Bahnhof",104,106,0,0,0
"Konzilstr./Theater",104,106,0,0,0
"Wollmatingen/Radolfzeller Str.",16,16,0,0,0
"Wollmatingen/Rathaus",64,65,0,0,0
"Bodan",16,16,0,0,0
"Fürstenberg",30,31,0,0,0
"Taborweg",30,31,0,0,0
"Allmannsdorfer Straße",42,42,4,4,0
"Salzberg/Allmannsdorfer Str.",42,42,4,4,0
"Brüelstraße",24,24,5,5,0
"Gartenstraße",24,24,5,5,0
"Ellenrieder Gymnasium",24,24,5,5,0
"Eichhornstraße",17,17,0,0,0
"Hebelstraße",17,17,0,0,0
"Rosenau",17,17,0,0,0
"Kliniken Schmieder",17,17,0,0,0
"Bodensee-Therme Konstanz",17,17,0,0,0
"Bodensee-Stadion",17,17,0,0,0
"Klinikum Konstanz",26,24,0,1,-1
"Bürgerbüro",51,49,24,28,-4
"Zähringerplatz",75,73,2,6,-4
"Brandenburger Straße",19,15,0,4,-4
"Hardtstraße",19,15,0,4,-4
"Reute-/Winkelstraße",19,15,0,4,-4
"Elberfeldstraße",19,15,0,4,-4
"Reute-/Freibürgleweg",19,15,0,4,-4
"Urisberg",17,14,0,4,-4
"Schwaketenstraße",17,14,0,4,-4
"Gabelsbergerstraße",17,14,0,4,-4
"Schwaketenbad",17,14,0,4,-4
"Königsbau",20,16,1,6,-5
"Friedrichstraße",20,16,1,6,-5
"Allmannsdorf",58,50,6,12,-6
"An der Steig",58,50,6,12,-6
"Schulthaißstraße",31,24,0,6,-6
"Döbelestraße",31,24,0,6,-6
"Döbele",31,24,0,6,-6
"Hardtstr./Fürstenberg",31,24,0,6,-6
"Geschwister-Scholl-Schule",16,9,0,6,-6
"Karlsruher Straße",33,22,0,10,-10
"Breslauer Straße Ost",33,22,0,10,-10
"Breslauer Straße West",33,22,0,10,-10
"Gutenbergweg",32,22,0,10,-10
"Buhlenweg",32,22,0,10,-10
"Staad/Autofähre",30,17,3,14,-11
"Universität",35,21,0,13,-13
"Sonnenbühlstraße/Rauhgasse",27,10,0,16,-16
"Sonnenbühlstraße",27,10,0,16,-16
"Jacob-Burckhardt-Straße",38,21,1,18,-17
